Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
M6261,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,4752800,8515290,9030000,33100,4244100,30100,30,10,0,,,,,,,,,,,,,1,0.53,47
M6445,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,1277104,1986611,2200500,18440,904956,24450,,,,,12,7.5,0.5,,,,,,,,,,0.589,47
M6251,Kameel River Bridge,Bridge,Bridge,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,2344762,4421708,4635400,112000,2178638,30100,22,7,3.5,,,,,,,,,,,,,1,0.53,47
M6444,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,1856172,3160700,3178500,15170,1307158,24450,,,,,13,10,1.5,,,,,,,,,,0.589,47
M6443,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,1542393,2457342,2640600,12260,1085947,24450,,,,,6,18,1.5,,,,,,,,,,0.589,47
M6304,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,1197883,1814277,2206613,101260,907469,24450,,,,,9.5,9.5,0,,,,,,,,,,0.589,47
3481,Wilge River,Bridge,Bridge,3/18/2009,0,21.84,NK: Nkangala District Municipality,6/30/2022,12/5/2015,32693636,54622094,56480300,64935,23721725,45140,100.5,12.45,11.2,,,,,,,,,,,,,1,0.58,42
M6441,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,991126,1740860,1760400,45310,723964,24450,,,,,6,12,2,,,,,,,,,,0.589,47
M6440,Major culvert,Major Culvert,Culvert Major,12/5/2015,,,NK: Nkangala District Municipality,6/30/2022,12/5/2015,665200,1129089,1161375,18560,477615,24450,,,,,9.5,5,1.5,,,,,,,,,,0.589,47
M6463,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,GS: Gert Sibande District Municipality,6/30/2022,12/12/2015,1333667,2127421,2286075,12260,940148,24450,,,,,11,8.5,0.15,,,,,,,,,,0.589,47
M6310,MajorCulvert,Major Culvert,Culvert Major,12/12/2015,,,GS: Gert Sibande District Municipality,6/30/2022,12/12/2015,311613,611250,611250,48260,251377,24450,,,,,5,5,2.5,,,,,,,,,,0.589,47
M6424,Major Culvert,Major Culvert,Culvert Major,12/12/2015,,,GS: Gert Sibande District Municipality,6/30/2022,12/12/2015,993136,1663920,1711500,14510,703854,24450,,,,,5,14,0,,,,,,,,,,0.589,47
M6422,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,GS: Gert Sibande District Municipality,6/30/2022,12/12/2015,829484,1380561,1479225,41410,608331,24450,,,,,11,5.5,0,,,,,,,,,,0.589,47
